,date,state,cases,deaths
332,7/31/2020,AZ,174108,3695
333,7/31/2020,AR,42511,453
334,7/31/2020,CA,502273,9222
335,7/31/2020,CO,46948,1841
336,7/31/2020,CT,49810,4432
337,7/31/2020,DE,14788,585
338,7/31/2020,DC,12126,585
339,7/31/2020,FL,470378,6842
340,7/31/2020,GA,171342,3674
341,7/31/2020,GU,1325,6
342,7/31/2020,HI,2088,25
343,7/31/2020,ID,20853,193
344,7/31/2020,IL,180701,7703
345,7/31/2020,IN,67800,2965
346,7/31/2020,IA,44753,872
347,7/31/2020,KS,28121,358
348,7/31/2020,KY,30981,753
349,7/31/2020,LA,116394,3949
350,7/31/2020,ME,3912,123
351,7/31/2020,MD,88907,3493
352,7/31/2020,MA,117612,8609
353,7/31/2020,MI,90752,6453
354,7/31/2020,MN,54503,1640
355,7/31/2020,MS,58747,1663
356,7/31/2020,MO,51045,1305
357,7/31/2020,MT,3977,60
358,7/31/2020,NE,26211,338
359,7/31/2020,NV,48142,831
360,7/31/2020,NH,6583,415
361,7/31/2020,NJ,183535,15819
362,7/31/2020,NM,20600,642
363,7/31/2020,NY,419723,32372
364,7/31/2020,NC,122370,1947
365,7/31/2020,ND,6473,107
366,7/31/2020,MP,42,2
367,7/31/2020,OH,91159,3489
368,7/31/2020,OK,36456,541
369,7/31/2020,OR,18510,325
370,7/31/2020,PA,116787,7261
371,7/31/2020,PR,16781,219
372,7/31/2020,RI,19022,1007
373,7/31/2020,SC,89016,1712
374,7/31/2020,SD,8764,130
375,7/31/2020,TN,103144,1047
376,7/31/2020,TX,441767,7271
377,7/31/2020,UT,40258,308
378,7/31/2020,VT,1414,57
379,7/31/2020,VI,406,8
380,7/31/2020,VA,89729,2171
381,7/31/2020,WA,58726,1654
382,7/31/2020,WV,6642,116
383,7/31/2020,WI,57020,943
384,7/31/2020,WY,2726,26
385,8/1/2020,AL,89349,1603
386,8/1/2020,AK,3825,22
387,8/1/2020,AZ,177019,3753
388,8/1/2020,AR,43173,458
389,8/1/2020,CA,509507,9365
390,8/1/2020,CO,47357,1846
391,8/1/2020,CT,49810,4432
392,8/1/2020,DE,14877,585
393,8/1/2020,DC,12205,585
394,8/1/2020,FL,480020,7021
395,8/1/2020,GA,174834,3744
396,8/1/2020,GU,1328,6
397,8/1/2020,HI,2174,25
398,8/1/2020,ID,21231,197
399,8/1/2020,IL,182232,7707
400,8/1/2020,IN,68773,2971
401,8/1/2020,IA,45293,874
402,8/1/2020,KS,28147,358
403,8/1/2020,KY,31612,758
404,8/1/2020,LA,116394,3949
405,8/1/2020,ME,3937,123
406,8/1/2020,MD,89925,3506
407,8/1/2020,MA,118040,8626
408,8/1/2020,MI,91450,6460
409,8/1/2020,MN,55228,1646
410,8/1/2020,MS,59881,1693
411,8/1/2020,MO,51985,1311
412,8/1/2020,MT,4081,61
413,8/1/2020,NE,26391,338
414,8/1/2020,NV,49207,832
415,8/1/2020,NH,6613,416
416,8/1/2020,NJ,183904,15830
417,8/1/2020,NM,20796,651
418,8/1/2020,NY,420477,32390
419,8/1/2020,NC,124015,1989
420,8/1/2020,ND,6606,107
421,8/1/2020,MP,44,2
422,8/1/2020,OH,92087,3515
423,8/1/2020,OK,37706,549
424,8/1/2020,OR,18817,329
425,8/1/2020,PA,117468,7270
426,8/1/2020,PR,17872,225
427,8/1/2020,RI,19022,1007
428,8/1/2020,SC,90599,1751
429,8/1/2020,SD,8867,134
430,8/1/2020,TN,105455,1056
431,8/1/2020,TX,448224,7477
432,8/1/2020,UT,40754,312
433,8/1/2020,VT,1421,57
434,8/1/2020,VI,421,8
435,8/1/2020,VA,90633,2212
436,8/1/2020,WA,59649,1676
437,8/1/2020,WV,6735,116
438,8/1/2020,WI,58064,955
439,8/1/2020,WY,2769,26
440,8/2/2020,AL,91444,1627
441,8/2/2020,AK,3982,22
442,8/2/2020,AZ,178473,3769
443,8/2/2020,AR,43810,464
444,8/2/2020,CA,515937,9399
445,8/2/2020,CO,47799,1846
446,8/2/2020,CT,49810,4432
447,8/2/2020,DE,14949,585
448,8/2/2020,DC,12274,586
449,8/2/2020,FL,487124,7083
450,8/2/2020,GA,177556,3758
451,8/2/2020,GU,1328,6
452,8/2/2020,HI,2219,25
453,8/2/2020,ID,21465,197
454,8/2/2020,IL,183714,7718
455,8/2/2020,IN,69531,2975
456,8/2/2020,IA,45723,878
457,8/2/2020,KS,28341,361
458,8/2/2020,KY,31966,759
459,8/2/2020,LA,119861,4007
460,8/2/2020,ME,3958,123
461,8/2/2020,MD,90835,3515
462,8/2/2020,MA,118458,8638
463,8/2/2020,MI,91857,6460
464,8/2/2020,MN,55987,1654
465,8/2/2020,MS,60553,1703
466,8/2/2020,MO,52550,1311
467,8/2/2020,MT,4193,61
468,8/2/2020,NE,26702,338
469,8/2/2020,NV,50270,833
470,8/2/2020,NH,6634,417
471,8/2/2020,NJ,184225,15836
472,8/2/2020,NM,21016,654
473,8/2/2020,NY,421008,32401
474,8/2/2020,NC,125281,1996
475,8/2/2020,ND,6664,109
476,8/2/2020,MP,45,2
477,8/2/2020,OH,93031,3529
478,8/2/2020,OK,38201,550
479,8/2/2020,OR,19097,331
480,8/2/2020,PA,118038,7274
481,8/2/2020,PR,18411,230
482,8/2/2020,RI,19022,1007
483,8/2/2020,SC,91788,1777
484,8/2/2020,SD,8955,135
485,8/2/2020,TN,106804,1062
486,8/2/2020,TX,453291,7518
487,8/2/2020,UT,41175,313
488,8/2/2020,VT,1426,57
